percent,training_samples_after,training_samples_before,f1_macro_mean,f1_macro_std,f1_macro_UT2,f1_macro_UT3,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_UT2,balanced_accuracy_UT3,Sampler,Seed
0.005,4370,4370,0.8752548453633505,0.127223824923286,0.9319442110569652,0.683785462828743,0.8398849252013809,0.15389046075845783,0.9298579840665051,0.7355386214063042,no Sampler(),31
0.01,4392,4392,0.9687813701606135,0.019999003857408562,0.9187684245004913,0.7503312511830399,0.9430555555555555,0.0352460487234709,0.9140976792518185,0.7715621752684447,no Sampler(),31
0.03,4479,4479,0.9959634888058485,0.0049436963844552055,0.8429530201342282,0.6626443716600586,0.9923076923076923,0.009421114395319882,0.817630758572913,0.6610668514028404,no Sampler(),31
0.05,4566,4566,0.9963522980164743,0.0029787444884282976,0.8150196477950807,0.6497512437810945,0.9931289640591967,0.005611007199615313,0.779875303082785,0.6342223761690335,no Sampler(),31
0.1,4783,4783,0.9961602250772522,0.003741318103762786,0.8584269662921349,0.7134897855816309,0.993103448275862,0.006702243557293422,0.8363352961551784,0.7060962937305162,no Sampler(),31
0.25,5436,5436,0.9991318272759584,0.0017363454480833428,0.8582512682781259,0.7117845117845117,0.9986175115207374,0.002764976958525356,0.8354693453411846,0.7034984412885348,no Sampler(),31
0.5,6523,6523,0.999482393564483,0.00042262452510257175,0.8472283487722394,0.6952903977367283,0.9994247576672493,0.0005146315755365731,0.8200554208520956,0.6828888119154832,no Sampler(),31
1.0,8698,8698,0.9997701149425288,0.00045977011494251484,0.8558277654046028,0.7239609206822322,0.9997701149425288,0.00045977011494251484,0.8318323519224108,0.7112919986144787,no Sampler(),31
0.005,8698,4370,0.9856568474604085,0.02868630507918275,0.9188156638013372,0.8050668543279381,0.975,0.049999999999999996,0.9116730169726359,0.8081052996189817,RandomOverSampler(random_state=31),31
0.01,8698,4392,0.9643166276882678,0.03433768399795945,0.8704710144927537,0.7401919515069877,0.9635437967629151,0.049387572087871034,0.85140284031867,0.7327675788015241,RandomOverSampler(random_state=31),31
0.03,8698,4479,0.997981711373451,0.004036577253097917,0.8345157087013175,0.6809765689005407,0.9961538461538462,0.007692307692307665,0.8020436439210252,0.6627987530308279,RandomOverSampler(random_state=31),31
0.05,8698,4566,0.9950643646315506,0.00719486310098154,0.8241177311044435,0.7010732323232324,0.9908562367864693,0.013261646012308321,0.7868029095947351,0.6719778316591618,RandomOverSampler(random_state=31),31
0.1,8698,4783,0.9974580421972217,0.0012709789078268632,0.8384,0.7001953125,0.9964367816091955,0.002680897422917407,0.8075857291305855,0.6809837201246969,RandomOverSampler(random_state=31),31
0.25,8698,5436,0.9994242254936111,0.00070517863140122,0.8333574215927158,0.7045418070935644,0.9990804549105821,0.0011262130920067267,0.8003117422930377,0.6811569102874957,RandomOverSampler(random_state=31),31
0.5,8698,6523,0.9994819961832588,0.0006905336194551918,0.8411678832116788,0.70272920411832,0.9993098151385137,0.0009198056463571939,0.8115691028749568,0.6849670938690682,RandomOverSampler(random_state=31),31
1.0,8698,8698,0.9998850574332995,0.0002298851334010976,0.8558277654046028,0.7239609206822322,0.9998850574712644,0.00022988505747125742,0.8318323519224108,0.7112919986144787,RandomOverSampler(random_state=31),31
0.005,42,4370,0.7041082838227122,0.1303267589057651,0.8540988458123705,0.7557840616966581,0.9401122971310663,0.0652871664562022,0.8292344994804295,0.7367509525458954,RandomUnderSampler(random_state=31),31
0.01,86,4392,0.775953783327353,0.11669515209521776,0.8339835283918509,0.7416185872446592,0.9653542738603849,0.022735714885923058,0.8010045029442328,0.7130239002424662,RandomUnderSampler(random_state=31),31
0.03,260,4479,0.902873833938491,0.07431894250942872,0.81475201356507,0.7071516646115906,0.9808712311985992,0.014921559611883989,0.7729476965708348,0.6709386906823692,RandomUnderSampler(random_state=31),31
0.05,434,4566,0.9626134624980004,0.02351682843396179,0.8059826670394185,0.706149651620721,0.9939321852307448,0.006986892595416563,0.7596120540353308,0.6640110841704192,RandomUnderSampler(random_state=31),31
0.1,868,4783,0.9912510736301273,0.005679617102670848,0.8238823025282103,0.704938659955961,0.9952739909115209,0.0024404609755570234,0.7864565292691376,0.6750952545895393,RandomUnderSampler(random_state=31),31
0.25,2174,5436,0.9982787463113294,0.0016702534804103504,0.8368650217706821,0.7080444945993873,0.9986206847956396,0.001182902032644277,0.8053342570142016,0.6863526151714583,RandomUnderSampler(random_state=31),31
0.5,4348,6523,0.999482195579442,0.0006904338497289921,0.8458602466236054,0.713467517591229,0.999425287356322,0.000890340999128115,0.8181503290613092,0.6967440249393835,RandomUnderSampler(random_state=31),31
1.0,8698,8698,0.999655106240952,0.00028160460087292593,0.8613728129205922,0.7173180592991913,0.999655172413793,0.00028155054514748324,0.8394527190855559,0.7093869068236924,RandomUnderSampler(random_state=31),31
0.005,8698,4370,0.9856568474604085,0.02868630507918275,0.9309677419354838,0.8258635961027458,0.975,0.049999999999999996,0.9258746103221337,0.8297540699688257,"SMOTE(k_neighbors=3, random_state=31)",31
0.01,8698,4392,0.9761099179746726,0.021491248529083445,0.886021505376344,0.7687606112054329,0.9761590038314176,0.02881675012913788,0.8714928992033253,0.7641149982680984,"SMOTE(k_neighbors=3, random_state=31)",31
0.03,8698,4479,0.9960374144556756,0.004854561194592907,0.846730345334313,0.6878448419996656,0.996038771355227,0.007638021714530285,0.8193626602009005,0.6766539660547282,"SMOTE(k_neighbors=3, random_state=31)",31
0.05,8698,4566,0.9937725866867957,0.006914196999204662,0.8153280542986425,0.6795902285263987,0.9884249471458773,0.012738172515117399,0.7738136473848285,0.6479043990301351,"SMOTE(k_neighbors=3, random_state=31)",31
0.1,8698,4783,0.998093581192126,0.0015565844384454956,0.828637147786084,0.6841085271317829,0.9965517241379309,0.002815505451474941,0.7935573259438864,0.6612400415656391,"SMOTE(k_neighbors=3, random_state=31)",31
0.25,8698,5436,0.9994242915525575,0.0007050979672105855,0.8401107710246319,0.6939110454620055,0.9990804549105821,0.0011262130920067267,0.8100103914097679,0.6770003463803256,"SMOTE(k_neighbors=3, random_state=31)",31
0.5,8698,6523,0.9998274869475038,0.00034502610499238524,0.8466059359388775,0.7029081295439524,0.9997701149425288,0.00045977011494251484,0.8191894700381018,0.6886040872878421,"SMOTE(k_neighbors=3, random_state=31)",31
1.0,8698,8698,0.9996551060888301,0.0002816047251990426,0.8558277654046028,0.7239609206822322,0.9996550401439096,0.00028165864658067735,0.8318323519224108,0.7112919986144787,"SMOTE(k_neighbors=3, random_state=31)",31
0.005,8698,4370,0.9776627691521309,0.027357408922017778,0.9152918781725888,0.7997191504300509,0.9798850574712643,0.03994314892431771,0.9075164530654658,0.8023900242466229,SMOTE(random_state=31),31
0.01,8698,4392,0.9780980235490606,0.031155510194229994,0.8884437596302003,0.7630315500685871,0.9775476281805396,0.027500834943174422,0.8746103221337028,0.7606511950121233,SMOTE(random_state=31),31
0.03,8698,4479,0.9940191920401948,0.004885175767029596,0.841506129597198,0.6813953488372093,0.9921927497789568,0.009329624697350871,0.8119154832005542,0.6678212677519917,SMOTE(random_state=31),31
0.05,8698,4566,0.9951189521518311,0.005978038319061861,0.8270223752151463,0.6934015018373542,0.9930140215304611,0.00918055962712772,0.7911326636647038,0.6676480775891929,SMOTE(random_state=31),31
0.1,8698,4783,0.9974378263374983,0.003743697882198261,0.8341534008683068,0.6789111183994753,0.9954022988505749,0.006702243557293422,0.801524073432629,0.6608936612400416,SMOTE(random_state=31),31
0.25,8698,5436,0.9991358428420828,0.0011517940117886573,0.8349992756772417,0.689374185136897,0.9986217393142519,0.0018359238973744453,0.8027364045722203,0.6698995497055766,SMOTE(random_state=31),31
0.5,8698,6523,0.999482195579442,0.0006904338497289921,0.8428905792861322,0.7110966270164576,0.9993103448275862,0.0009195402298850297,0.8139937651541392,0.6929338413578109,SMOTE(random_state=31),31
1.0,8698,8698,0.9998850574332995,0.0002298851334010976,0.8558277654046028,0.7239609206822322,0.9998850574712644,0.00022988505747125742,0.8318323519224108,0.7112919986144787,SMOTE(random_state=31),31
0.005,8698,4370,0.9856568474604085,0.02868630507918275,0.9134082634161785,0.7932489451476793,0.975,0.049999999999999996,0.905264980949082,0.7963283685486664,"SMOTE(k_neighbors=7, random_state=31)",31
0.01,8698,4392,0.9813962466304028,0.015257241351871577,0.8775292864749734,0.755608028335301,0.9762739463601534,0.028908033281787957,0.8605819189470039,0.7490474541046068,"SMOTE(k_neighbors=7, random_state=31)",31
